Order ID;Status
1;Delivered
49;Delivered
50;Delivered
80;Delivered
85;Delivered
86;Delivered
97;Delivered
98;Delivered
103;Delivered
107;Delivered
127;Delivered
128;Delivered
134;Returned
135;Returned
149;Delivered
160;Delivered
161;Delivered
175;Delivered
176;Delivered
203;Delivered
204;Delivered
213;Delivered
214;Delivered
229;Delivered
230;Returned
231;Delivered
249;Delivered
250;Delivered
256;Delivered
330;Delivered
331;Delivered
332;Delivered
362;Delivered
363;Delivered
381;Delivered
406;Delivered
413;Delivered
414;Delivered
415;Delivered
440;Delivered
471;Delivered
513;Delivered
577;Delivered
606;Delivered
656;Delivered
669;Delivered
670;Delivered
671;Delivered
672;Delivered
734;Delivered
735;Delivered
755;Delivered
769;Delivered
782;Delivered
786;Delivered
817;Delivered
818;Delivered
821;Delivered
822;Delivered
839;Delivered
853;Delivered
863;Delivered
864;Delivered
911;Delivered
950;Delivered
951;Delivered
956;Delivered
963;Delivered
964;Delivered
965;Delivered
966;Delivered
988;Delivered
1017;Delivered
1073;Delivered
1154;Delivered
1156;Delivered
1157;Delivered
1205;Delivered
1226;Delivered
1227;Delivered
1228;Delivered
1229;Delivered
1230;Delivered
1258;Delivered
1259;Delivered
1299;Delivered
1300;Delivered
1301;Delivered
1337;Delivered
1370;Delivered
1371;Delivered
1372;Delivered
1380;Delivered
1445;Delivered
1457;Delivered
1462;Delivered
1463;Delivered
1495;Delivered
1496;Delivered
1513;Delivered
1544;Delivered
1551;Delivered
1589;Delivered
1590;Delivered
1594;Delivered
1654;Delivered
1655;Delivered
1656;Delivered
1675;Delivered
1676;Delivered
1710;Delivered
1718;Delivered
1727;Delivered
1745;Delivered
1751;Delivered
1770;Delivered
1771;Delivered
1781;Delivered
1782;Delivered
1806;Delivered
1807;Delivered
1842;Delivered
1843;Delivered
1848;Delivered
1855;Delivered
1913;Delivered
1928;Delivered
1929;Delivered
1930;Delivered
1978;Delivered
1979;Delivered
2013;Delivered
2058;Delivered
2070;Delivered
2071;Delivered
2114;Delivered
2115;Delivered
2116;Delivered
2117;Delivered
2129;Delivered
2130;Delivered
2161;Delivered
2206;Delivered
2207;Delivered
2208;Delivered
2209;Delivered
2210;Delivered
2221;Delivered
2246;Delivered
2247;Delivered
2281;Delivered
2283;Delivered
2294;Delivered
2295;Delivered
2296;Delivered
2297;Delivered
2316;Delivered
2317;Delivered
2318;Delivered
2323;Delivered
2346;Delivered
2347;Delivered
2383;Delivered
2384;Delivered
2402;Delivered
2445;Delivered
2483;Delivered
2487;Delivered
2489;Delivered
2490;Delivered
2491;Delivered
2520;Delivered
2521;Delivered
2522;Delivered
2615;Delivered
2624;Delivered
2637;Delivered
2643;Delivered
2726;Delivered
2727;Delivered
2728;Delivered
2768;Delivered
2782;Delivered
2796;Delivered
2811;Delivered
2812;Delivered
2935;Delivered
2936;Delivered
2956;Delivered
2999;Delivered
3006;Delivered
3052;Delivered
3053;Delivered
3089;Delivered
3110;Delivered
3135;Delivered
3138;Delivered
3140;Delivered
3244;Delivered
3245;Delivered
3284;Delivered
3300;Returned
3355;Delivered
3356;Delivered
3357;Delivered
3359;Delivered
3371;Delivered
3372;Delivered
3373;Delivered
3380;Delivered
3381;Delivered
3406;Delivered
3418;Delivered
3419;Delivered
3434;Delivered
3478;Delivered
3479;Delivered
3493;Delivered
3552;Delivered
3560;Delivered
3591;Delivered
3592;Delivered
3602;Delivered
3604;Delivered
3605;Delivered
3641;Delivered
3643;Delivered
3644;Delivered
3649;Delivered
3658;Delivered
3666;Delivered
3688;Delivered
3689;Delivered
3711;Delivered
3716;Delivered
3719;Delivered
3720;Delivered
3721;Delivered
3722;Delivered
3760;Delivered
3805;Delivered
3806;Delivered
3807;Delivered
3808;Delivered
3821;Delivered
3841;Delivered
3860;Delivered
3861;Delivered
3863;Delivered
3873;Delivered
3874;Delivered
3891;Delivered
3892;Delivered
3914;Delivered
3915;Delivered
3929;Delivered
3936;Delivered
3947;Delivered
3948;Delivered
3952;Delivered
3963;Delivered
3992;Delivered
4017;Delivered
4050;Delivered
4051;Delivered
4075;Delivered
4082;Delivered
4118;Delivered
4119;Delivered
4164;Delivered
4193;Delivered
4194;Delivered
4202;Delivered
4305;Delivered
4306;Delivered
4346;Delivered
4347;Delivered
4362;Delivered
4369;Delivered
4372;Delivered
4390;Delivered
4391;Returned
4392;Delivered
4401;Delivered
4404;Delivered
4405;Delivered
4411;Delivered
4412;Delivered
4413;Delivered
4429;Delivered
4430;Delivered
4437;Delivered
4446;Delivered
4447;Delivered
4459;Delivered
4460;Delivered
4524;Delivered
4525;Delivered
4532;Delivered
4533;Delivered
